TELERIDE_NUMBER,STOP_NAME,STATUS,point,City Quadrants,Ward Boundaries 2017,Ward Boundaries,Calgary Communities
4219,NB Braeside DR @ 107 AV SW,ACTIVE,POINT (-114.103025419651 50.9575810303108),1,5,8,23
4084,NB 52 ST NE @ 80 AV NE,ACTIVE,POINT (-113.958141966697 51.1256015915057),4,1,11,2
3630,WB 45 Street CTrain Station,ACTIVE,POINT (-114.153368667525 51.0379417558677),1,14,14,234
9084,WB 40 AV NW @ Hudson RD,ACTIVE,POINT (-114.077948490374 51.0887761178237),2,4,7,37
4841,SB Richard RD @ N. of Richardson WY SW,ACTIVE,POINT (-114.120971341746 51.0137303787995),1,2,8,199
3482,NB 19 ST NW @ Collingwood DR,ACTIVE,POINT (-114.10721042732 51.080718299346),2,4,7,214
6227,EB Maryvale DR @ Marlborough WY NE,ACTIVE,POINT (-113.976027853194 51.0561747192008),4,3,12,77
4417,EB Country Hills BV @ Country Hills DR NW,ACTIVE,POINT (-114.076423246049 51.1475549207159),2,12,2,172
6532,West Hillhurst Shelter (2507 Bowness Rd),INACTIVE,POINT (-114.118437164072 51.0511070145019),2,7,7,280
5598,NB Northland DR @ 52 AV NW,ACTIVE,POINT (-114.14107658177 51.0996476343702),2,4,7,50
6452,SB Macleod TR @ 71 AV SW,ACTIVE,POINT (-114.071757830888 50.9891465694087),1,5,8,120
9350,WB Cougar Ridge DR @ Cougarstone TC SW,ACTIVE,POINT (-114.216023318688 51.0729356598038),1,14,1,128
4382,EB Madigan DR @ Madeira DR NE,ACTIVE,POINT (-113.953164621504 51.06245268124),4,3,12,33
5596,Mount Royal University Terminal,INACTIVE,POINT (-114.133842201437 51.0145993335649),1,2,8,42
8014,SB 85 ST SW @ Aspenshire DR,ACTIVE,POINT (-114.211089648213 51.0484766782913),1,14,1,48
9232,SB Midpark DR @ Midbend CR SE,ACTIVE,POINT (-114.057692510127 50.9109319908363),3,13,6,263
5033,NB 4 ST NW @ 40 AV NW,ACTIVE,POINT (-114.071495404364 51.0878319710141),2,4,2,259
2037,NB Nolan Hill Dr @ Nolanfield Hts NW,ACTIVE,POINT (-114.162285905822 51.1769302571548),2,10,3,188
7356,WB 49 AV NE @ Aviation BV,ACTIVE,POINT (-114.03365758993 51.0977161058833),4,1,11,108
4994,EB Shawville GA @ Shawville LI SE,INACTIVE,POINT (-114.066419702464 50.8986306577722),3,6,5,115
6568,SB 14 ST NW @ MacEwan DR,ACTIVE,POINT (-114.107294949837 51.1343453237009),2,4,2,146
9432,WB 16 AV NW @ 7 ST NW,INACTIVE,POINT (-114.079475620885 51.0670378092751),2,7,7,17
4646,EB Copperfield BV @ Copperfield MR SE,ACTIVE,POINT (-113.936963711328 50.9107838588429),3,8,4,96
7407,NB Edmonton TR @ 23 AV NE,ACTIVE,POINT (-114.056183374736 51.0736939403424),4,7,10,88
4878,SB Hunterview DR @ 78 AV NW,ACTIVE,POINT (-114.085372407992 51.1228251834403),2,4,2,261
7749,SB 11 ST SE @ S of 46 AV SE,INACTIVE,POINT (-114.037406625653 51.0091211782571),3,11,10,75
5149,NB 52 ST SE @ 48 AV SE,ACTIVE,POINT (-113.958067633196 51.0132163406075),3,11,12,209
6830,EB Centre Street CTrain Station,ACTIVE,POINT (-114.061241408674 51.0463779095927),3,7,7,262
8124,EB Auburn Bay BV @ Auburn Bay CL SE,ACTIVE,POINT (-113.955968617238 50.8853390450061),3,8,4,95
8773,SB 51 ST SW @ Glenbrook PL,ACTIVE,POINT (-114.161183966688 51.021398160057),1,14,1,298
9636,WB Martin Crossing DR @ Martin Crossing WY NE,ACTIVE,POINT (-113.957232965837 51.1179051896068),4,1,9,180
9787,EB Bowness RD @ 63 ST NW,ACTIVE,POINT (-114.179641726731 51.0854289793744),2,9,13,149
5297,NB 1 ST SW@ 10 AV SW,INACTIVE,POINT (-114.065526652717 51.043148563532),1,5,14,260
2311,NB 68 ST SE @ N Leg of Applewood Dr SE,ACTIVE,POINT (-113.934888985478 51.0457760481541),3,11,12,221
7209,EB Hawkstone DR @ Hawkwood BV NW,ACTIVE,POINT (-114.168810805316 51.1296905220507),2,10,3,248
9310,SB 51 ST SW @ 30 AV SW,ACTIVE,POINT (-114.161099960284 51.0267390069642),1,14,1,298
3805,SB 42 ST SE @ 110 AV SE,ACTIVE,POINT (-113.974156341082 50.9558812770324),3,8,4,79
9696,NB Harvest Hills BV @ Country Village RD NE,ACTIVE,POINT (-114.070545502526 51.1606480291419),4,12,11,251
5275,SB Edmonton TR @ 35 AV NE,ACTIVE,POINT (-114.052369438738 51.0842746769563),4,4,2,239
2023,EB 35 AV NE @ 21 ST NE,INACTIVE,POINT (-114.007950562357 51.0838379484923),4,3,9,72
7422,NB 14 ST NW @ Roselawn CR,ACTIVE,POINT (-114.094584830507 51.0751501795693),2,7,7,63
4251,SB Braeside DR @ 104 AV SW,ACTIVE,POINT (-114.103449853224 50.9592286434285),1,5,8,23
7932,WB 17 AV SW @ 4 ST SW,ACTIVE,POINT (-114.071978604978 51.037904587635),1,2,14,260
8543,EB 17 AV SW @ 25 ST SW,ACTIVE,POINT (-114.12019544571 51.0377454245413),1,2,14,181
7873,EB 162 AV SW @ Somerside PA,ACTIVE,POINT (-114.094267999141 50.9048326255744),1,6,5,55
4224,SB Oakmoor WY @ Oakmoor DR SW,ACTIVE,POINT (-114.124817975622 50.9630761474951),1,5,8,217
9382,EB Coventry Hills WY @ Covette BA NE,ACTIVE,POINT (-114.044715713289 51.1650528581707),4,12,11,251
7424,WB 20 AV NW @ 16 ST NW,ACTIVE,POINT (-114.100224055192 51.0705950234052),2,7,7,63
6126,WB Southland DR @ Acadia DR SE,ACTIVE,POINT (-114.049001842141 50.964152054807),3,5,10,174
6991,NB Hidden Valley DR @ 100 Hidden Vale PL NW,ACTIVE,POINT (-114.104391139929 51.1455617845622),2,12,2,25
3689,EB Evanston VW @ Evansbrooke LI NW,ACTIVE,POINT (-114.119991540741 51.1645347661983),2,10,3,237
3844,EB Symons Valley PY NW @ Symons Valley RD NW,ACTIVE,POINT (-114.130482955011 51.1678347830723),2,10,3,237
2265,EB Skyview Ranch DR @ 52 ST NE,ACTIVE,POINT (-113.957853129955 51.1578797342036),4,1,11,12
9964,SB Blackfoot TR @ 71 AV SE,ACTIVE,POINT (-114.053237294455 50.9872412932224),3,11,10,76
2156,SB 23 ST NE @ 35 AV NE,ACTIVE,POINT (-114.005230993483 51.0837124856563),4,3,9,72
2887,SB 24 ST @ Palistone RD SW,INACTIVE,POINT (-114.118143332113 50.9672182821945),1,5,8,217
8093,EB 12 AV SW @ 7 ST SW,ACTIVE,POINT (-114.078568713472 51.0417755384339),1,2,14,260
9755,EB Panamount BV @ W. Leg Panamount RD NW,ACTIVE,POINT (-114.091719358833 51.1566893326815),2,12,11,235
2358,signal A114C sb,INACTIVE,POINT (-114.07398317916 50.9516663693268),1,5,8,7
6079,WB Fish Creek BV @ E. of Evercreek Bluffs GA SW,ACTIVE,POINT (-114.118348080133 50.9214769447427),1,6,5,39
8642,EB 5 AV SW @ 1 ST SW,INACTIVE,POINT (-114.06569646938 51.0483608756609),1,7,7,262
8168,NB Barlow TR @ 76 AV SE,ACTIVE,POINT (-113.981530159597 50.9862814716841),3,11,10,159
6112,Southland LRT Station WB,ACTIVE,POINT (-114.077385538237 50.964227663593),1,5,8,7
6867,NB Sierra Morena BV @ Signal Hill CTR SW,ACTIVE,POINT (-114.175940039682 51.0186096242899),1,14,1,278
5566,NB Midridge DR @ Midglen WY SE,ACTIVE,POINT (-114.052138098456 50.9188963247012),3,13,6,263
9533,NB Saddletowne CI @ Taravista DR NE,ACTIVE,POINT (-113.94425304164 51.1220639365614),4,1,11,26
9911,WB @ Fish Creek-Lacombe Station,INACTIVE,POINT (-114.074693160946 50.9243132696601),1,6,5,32
5963,SB Deer Ridge DR @ S. of Canyon Meadows DR SE,ACTIVE,POINT (-114.027340808322 50.9306263799005),3,13,6,151
2397,EB 50 AV @ 22 ST SE,ACTIVE,POINT (-114.006378429709 51.0087002384726),3,11,10,102
6785,EB Patina DR @ Patina PL SW,ACTIVE,POINT (-114.168357798355 51.0606814468094),1,14,1,275
7283,Falshire Drive Station (SB),ACTIVE,POINT (-113.950382378366 51.1064827992806),4,1,9,119
5554,NB Macleod TR @ 55 AV SW,ACTIVE,POINT (-114.070355268683 51.00439378693),1,11,10,124
7456,WB Kensington RD @ 10 ST NW,ACTIVE,POINT (-114.086523081962 51.0525702105408),2,7,7,40
7532,SB Centre ST N @ 4 ST N,ACTIVE,POINT (-114.06917202568 51.1171058277147),2,4,2,261
4372,EB Memorial DR @ Forest RD SE,ACTIVE,POINT (-113.957647205473 51.052872858935),3,11,12,194
2192,EB Freeport BV @ Freeport WY NE,ACTIVE,POINT (-114.009294344015 51.1505885213228),4,1,11,13
5847,SB Ogden RD @ 76 AV SE,ACTIVE,POINT (-113.998891656398 50.9846782843182),3,11,10,28
4747,EB Midpark BV @ Midpark WY SE,ACTIVE,POINT (-114.057754537462 50.9081450850222),3,13,6,263
6734,NB Nose Hill DR @ Silver Springs BV NW,ACTIVE,POINT (-114.206109250539 51.116610629168),2,9,13,147
8746,NB Centre ST N @ 56 AV N,ACTIVE,POINT (-114.062317372189 51.1030636600476),4,4,2,192
4488,WB 30 AV SE @ 41 ST SE,ACTIVE,POINT (-113.974765982778 51.026935087607),3,11,10,196
8766,NB 17A ST SW @ 21 AV SW,ACTIVE,POINT (-114.102799081129 51.035318253645),1,2,14,208
8556,SB Victoria Park / Stampede CTrain Station,ACTIVE,POINT (-114.058465066416 51.0384014809402),3,5,14,260
9513,EB Saddletree DR @ 52 ST NE,INACTIVE,POINT (-113.957335949091 51.1300331253755),4,1,11,2
